ID,RA,DEC,Field,B,A,FLUX_RADIUS_50,THETA,FWHM,r_auto
DR4_3_STRIPE82-0006_0002772,3.4155244749811744,0.1119807689338251,STRIPE82-0006,0.0004366932,0.0004659113,1.5779399,41.366463,0.0003600997,13.454654
DR4_3_STRIPE82-0006_0002794,2.5854931659222413,0.11875342173057214,STRIPE82-0006,0.0003667022,0.0003712963,1.5953088,56.019005,0.00036884437,15.320759
DR4_3_STRIPE82-0006_0002851,2.1542621552060734,0.12487772340211123,STRIPE82-0006,0.00035245012,0.0003870745,1.7048484,7.3428063,0.00041071957,15.444155
DR4_3_STRIPE82-0006_0002977,2.6619288216382206,0.13028748583243083,STRIPE82-0006,0.00028460624,0.0003132378,1.5503868,47.2214,0.00037474828,16.981565
DR4_3_STRIPE82-0006_0002983,2.758915995403854,0.1280221236918424,STRIPE82-0006,0.0003675195,0.00037637565,1.5826064,42.027134,0.0003608478,15.621459
DR4_3_STRIPE82-0006_0003022,3.1628451022877666,0.1258815981644718,STRIPE82-0006,0.00038715923,0.00039576495,1.524776,55.393517,0.00033771066,14.942606
DR4_3_STRIPE82-0006_0003046,3.2945998117146194,0.13215967208827248,STRIPE82-0006,0.0003040888,0.00032230417,1.5543687,-88.90177,0.0003450121,16.804678
DR4_3_STRIPE82-0006_0003089,2.4115557549978055,0.13126853886334025,STRIPE82-0006,0.0003336179,0.0003776502,1.5719023,33.355186,0.00037051045,16.55097
DR4_3_STRIPE82-0006_0003098,2.564529331555089,0.13017103906961644,STRIPE82-0006,0.00034241294,0.00035822298,1.5992895,56.10661,0.0003690003,16.07586
DR4_3_STRIPE82-0006_0003119,3.195063230127322,0.1329693171052176,STRIPE82-0006,0.00034627877,0.00035165358,1.5069653,68.93843,0.00034385175,15.475432
DR4_3_STRIPE82-0006_0003196,3.4503047489553405,0.1351274159938398,STRIPE82-0006,0.0003307581,0.00034484177,1.4922487,32.059456,0.00034263023,16.321186
DR4_3_STRIPE82-0006_0003310,2.3271727379891485,0.1267586826951248,STRIPE82-0006,0.0004550985,0.00047322057,1.7117084,11.306891,0.00040110902,13.476771
DR4_3_STRIPE82-0006_0003412,2.887340423998329,0.14214765974863233,STRIPE82-0006,0.0003046713,0.00032276456,1.4903977,49.80001,0.00034592568,16.876749
DR4_3_STRIPE82-0006_0003413,2.2226323070975456,0.13906811563519492,STRIPE82-0006,0.00037468027,0.000412441,1.6523219,17.602999,0.00040373177,15.903138
DR4_3_STRIPE82-0006_0003605,2.854792549607833,0.14904651397373708,STRIPE82-0006,0.00031187036,0.00033417906,1.5284581,16.284136,0.00034612013,16.27692
DR4_3_STRIPE82-0006_0003836,3.09077908860706,0.15444551059984346,STRIPE82-0006,0.00034440763,0.00039760163,1.6372439,-44.45411,0.00036843473,16.426966
DR4_3_STRIPE82-0006_0003868,2.819078341496988,0.12781953189665782,STRIPE82-0006,0.000512541,0.0005619459,1.6716217,22.73151,0.00042439203,12.030872
DR4_3_STRIPE82-0006_0003874,2.4843918411611643,0.15715086392728864,STRIPE82-0006,0.00033369937,0.000346113,1.5977278,-0.5872181,0.00037456662,16.50535
DR4_3_STRIPE82-0006_0003892,2.216327965451662,0.1499679717888316,STRIPE82-0006,0.0003862082,0.0004085454,1.6792397,14.865128,0.00040738672,15.083101
DR4_3_STRIPE82-0006_0003893,2.417048723517453,0.1541027704560321,STRIPE82-0006,0.00039114585,0.0004185147,1.6784531,25.729939,0.00039993442,14.930211
DR4_3_STRIPE82-0006_0003894,3.247644992332569,0.15487156448822262,STRIPE82-0006,0.00034511706,0.0003607366,1.4992411,-54.85724,0.00033744102,15.727874
DR4_3_STRIPE82-0006_0003907,2.9819239616684383,0.15259811807274118,STRIPE82-0006,0.00035695522,0.0003781898,1.5576597,-71.07555,0.00034953948,16.07271
